M1/M2,Spin1x,Spin1y,Spin1z,Spin2x,Spin2y,Spin2z,Fmass,Fmnorm,Fmint
0.999999279,-5.15E-10,1.37E-09,0.998000728,2.76E-10,-2.12E-09,0.998000755,0.882779525,0,0
1.00000003,4.71E-09,2.31E-10,0.994246478,-4.74E-09,-5.79E-10,0.994246847,0.886688799,0.033991543,0.679830851
0.999999932,6.03E-08,2.92E-09,0.989253079,-5.93E-08,-4.35E-09,0.989252912,0.887653916,0.042383335,0.847666697
1.000000462,3.52E-08,-2.47E-08,0.979412619,-3.56E-08,2.37E-08,0.979412887,0.889234327,0.056125172,1.122503446
1.000000008,1.89E-09,-4.82E-09,0.969504,-2.34E-09,5.48E-09,0.969504,0.89069084,0.068789704,1.375794075
1.000000034,2.89E-08,-1.42E-08,0.95955509,-2.90E-08,1.29E-08,0.959555155,0.892254495,0.082385846,1.64771692
1.000000028,-1.15E-09,7.96E-10,0.949586306,8.31E-10,-7.28E-10,0.949586328,0.893702404,0.094975565,1.899511296
1.331677268,0,0,0.951015388,0,0,0.953157438,0.894091107,0.098355378,1.967107553
0.999999984,0,0,0.948506155,0,0,0.948506186,0.895951453,0.114531279,2.290625578
1.499584817,2.02E-09,-4.68E-08,0.949893478,2.63E-08,-2.77E-08,0.949303275,0.898404763,0.135863064,2.717261272
0.99999996,0,0,0.901682041,0,0,0.901681985,0.899449762,0.144949438,2.898988764
1.000000004,7.17E-10,-3.28E-10,0.899737308,5.55E-10,5.95E-10,0.899737302,0.900366326,0.152919057,3.058381143
1,-1.03E-09,-2.91E-11,0.849825673,6.32E-10,1.20E-10,0.849825668,0.906167495,0.203360823,4.067216455
0.999999848,0,0,0.800687457,0,0,0.800687093,0.910618727,0.242064746,4.841294925
1.000000016,4.84E-09,-7.08E-09,0.799846238,-5.81E-09,7.57E-09,0.79984624,0.911248299,0.24753894,4.950778801
1.000000128,1.50E-09,-3.76E-09,0.799875677,-1.89E-09,4.02E-09,0.799875899,0.911251329,0.247565286,4.951305724
1.000000156,-2.60E-08,-6.05E-08,0.799914264,3.72E-08,4.68E-08,0.799914013,0.911258203,0.247625056,4.952501127
0.99999987,3.37E-08,2.64E-08,0.799792895,-4.05E-08,-1.63E-08,0.799793126,0.911264039,0.247675801,4.953516019
1.00000005,-1.35E-09,-6.08E-10,0.799873614,4.31E-09,6.46E-09,0.799873564,0.911275541,0.247775812,4.955516241
1.176443308,0,0,0.800786499,0,0,0.800863809,0.911416931,0.249005213,4.980104255
1,0,0,0.80857138,0,0,0.80857138,0.91165549,0.251079508,5.02159016
0.999973636,-2.83E-08,-5.21E-08,0.73118667,2.44E-08,6.30E-08,0.793727354,0.914710289,0.277641302,5.552826037
1.499864062,0,0,0.800722733,0,0,0.800739202,0.915595068,0.285334547,5.706690939
0.999999896,4.06E-08,-3.93E-08,0.749935731,-3.71E-08,3.23E-08,0.749934892,0.915751541,0.286695096,5.733901918
0.999996552,0.535419733,0.047578208,0.592252996,-0.014644667,-0.053082205,0.797920124,0.918602639,0.311485688,6.229713769
0.99999715,-0.227646924,-0.50396785,0.577899457,-0.044509446,0.035056527,0.797826951,0.919112915,0.315922591,6.318451823
1.000172231,4.90E-09,-2.18E-08,0.899805253,5.33E-10,-5.06E-09,0.500016493,0.919762947,0.321574687,6.431493735
1.000114527,-5.34E-08,4.08E-08,0.899797939,-3.53E-08,6.86E-08,0.500041025,0.919784731,0.321764101,6.435282018
1.999774448,2.65E-08,-4.02E-08,0.849845342,-1.23E-09,-2.25E-08,0.849769847,0.91986069,0.322424572,6.448491445
1.999853639,1.18E-08,2.67E-08,0.849873592,1.54E-08,-1.53E-08,0.849822441,0.919866608,0.32247603,6.449520598
1.175631555,0,0,0.500033599,0,0,0.850537697,0.919874876,0.322547921,6.45095842
1.332402378,0,0,0.500017606,0,0,0.851202611,0.919914833,0.322895351,6.457907025
1,0,0,0.70349297,0,0,0.70349297,0.91997029,0.323377556,6.467551112
1.418197308,-0.038814548,0.101828853,0.790283065,0.012145937,0.002402352,0.6417346,0.920162597,0.325049685,6.500993698
1.19990598,-0.164931865,-0.570896717,0.607750558,0.080436352,0.431160908,0.727912448,0.92139689,0.33578199,6.715639809
