M1/M2,Spin1x,Spin1y,Spin1z,Spin2x,Spin2y,Spin2z,Fspin,Fsnorm,Fsint
5.995916948,0,0,-2.13E-06,0,0,-0.83450429,-0.172300723,0,0
4.99574645,0,0,-0.500048851,0,0,-0.851385177,-0.105807368,0.059212248,1.184244957
4.99573581,0,0,0.50003316,0,0,-0.851395478,-0.09034652,0.072980113,1.459602266
4.998304443,0,0,-0.800435516,0,0,-0.800897532,-0.079520004,0.082621112,1.65242224
4.996992786,0,0,2.32E-06,0,0,-0.800893735,-0.067330247,0.093476075,1.869521502
4.998306898,0,0,0.800526922,0,0,-0.800934817,-0.054960646,0.104491189,2.08982378
4.987830628,0,0,-0.6961134,0,0,0,0.00069603,0.154053388,3.081067761
4.988073762,0,0,-0.69329134,0,0,0,0.001662,0.154913583,3.098271662
4.988958643,0,0,-0.68299902,0,0,0,0.00767478,0.160267956,3.20535912
4.986048639,0,0,-0.71396368,0,0,0,0.0104595,0.162747746,3.254954913
4.185606467,3.34E-07,2.25E-07,-0.800181962,1.69E-08,1.40E-07,-0.344443429,0.010499715,0.162783557,3.255671141
6.94514885,-1.42E-07,-3.80E-07,-0.481394701,-1.15E-07,1.40E-08,0.524815032,0.012515211,0.164578354,3.291567073
4.9849096,0,0,-0.72435028,0,0,0,0.01637332,0.168013995,3.360279896
4.998772448,0,0,-0.50005859,0,0,-0.650273806,0.01769452,0.169190522,3.383810434
8.000394144,-4.11E-07,4.36E-07,-0.397739664,6.90E-09,-1.22E-07,0.001477952,0.02129912,0.172400413,3.448008268
3.998946581,-3.33E-07,2.08E-07,-0.800149097,-1.00E-07,6.15E-08,-0.799330716,0.021659436,0.172721274,3.454425487
4.983693581,0,0,-0.73476777,0,0,0,0.02217802,0.173183073,3.463661455
4.000175014,9.24E-07,-1.08E-07,-0.799993364,3.25E-07,1.74E-07,-0.399948503,0.030681124,0.180755076,3.61510152
3.999008885,0.019042626,0.003294839,-0.799851628,0.318938578,-0.471251969,-0.561602071,0.031854201,0.1817997,3.635993992
4.998762219,0,0,0.50004341,0,0,-0.650328361,0.032429411,0.182311923,3.646238467
3.999281826,-0.015104832,-0.011316046,-0.799946014,-0.56773981,0.057297295,-0.560080616,0.033699793,0.183443197,3.668863938
3.999000617,0.011348653,0.014288231,-0.799959535,0.560382586,-0.079005433,-0.564640182,0.03436059,0.184031636,3.680632716
3.9775809,0,0,-0.80903414,0,0,0,0.03911022,0.188261175,3.765223505
4.000026341,8.26E-07,3.82E-07,-0.800084059,5.92E-08,6.47E-08,5.52E-05,0.039646304,0.188738557,3.774771148
4.000276173,0.0058341,0.012398294,-0.79987833,0.399790404,0.012617372,0.003306488,0.042632894,0.191398112,3.82796224
4.000088204,0.012513677,0.009561741,-0.799962216,0.399954204,-0.001484209,0.006579076,0.043062942,0.191781069,3.835621383
4.000140793,0.016217197,0.00459571,-0.799841766,0.371635706,-0.147828802,0.006553098,0.043199127,0.191902342,3.838046835
3.998479175,0.010354561,-0.025983984,-0.799522305,-0.607516435,-0.519158951,0.018676026,0.046237701,0.194608188,3.89216376
3.998957558,-0.02624395,0.018654068,-0.799294761,-0.119640177,0.790032414,0.029342458,0.046480907,0.194824763,3.896495253
3.998509555,0.003670807,-0.026711644,-0.799572821,-0.712285848,-0.36221698,0.018743558,0.047337954,0.195587962,3.911759238
3.998908273,-0.02904462,0.013918498,-0.799303844,0.069168893,0.7965827,0.011554065,0.047511086,0.195742136,3.914842715
3.99954615,5.05E-07,-2.67E-07,-0.800104103,-5.60E-08,-8.57E-08,0.399994745,0.048536876,0.1966556,3.933112008
8.003464705,2.42E-11,-1.31E-10,-0.499559,2.54E-12,-1.09E-10,4.96E-07,0.052575192,0.200251716,4.005034313
8.003464642,1.54E-10,-1.70E-10,-0.499559,-8.56E-11,-1.21E-11,4.98E-07,0.052578418,0.200254588,4.005091768
3.999758293,0.03230418,0.01000521,-0.799353906,0.751340187,-0.273236603,0.026659563,0.052677231,0.200342581,4.006851625
3.999802939,0.029233079,0.015441103,-0.799431884,0.789879922,-0.122920552,0.027479491,0.052969829,0.200603139,4.012062788
3.998432996,1.64E-07,-6.91E-08,-0.800053029,-1.94E-07,-7.53E-08,0.799454531,0.057499722,0.204637003,4.092740067
3.998489901,0,0,0.800405057,0,0,-0.800886945,0.057516151,0.204651633,4.093032667
3.998642156,0.022416401,-0.01064257,-0.799601745,-0.046491054,-0.537287639,0.590195552,0.057707391,0.204821932,4.096438647
3.998762347,0.013081967,0.017323912,-0.799866695,0.550894131,0.00014755,0.57950848,0.058405984,0.205444029,4.10888057
3.999030988,0.018898481,0.017003092,-0.799773749,0.534716135,0.090523892,0.587679338,0.059303059,0.206242873,4.124857453
7.001214017,1.75E-08,1.16E-08,-0.399866581,9.02E-08,2.80E-08,-5.89E-07,0.061943595,0.208594267,4.171885332
7.001091749,1.27E-08,1.60E-08,-0.399861072,6.47E-09,2.99E-08,-1.32E-06,0.061951325,0.20860115,4.172023003
3.977527712,-0.08375428,-0.000999,-0.80469844,0,0,0,0.067114723,0.213199149,4.26398299
3.9984101,0,0,-2.40E-06,0,0,-0.750579148,0.067206682,0.213281039,4.265620777
6.999854987,2.59E-08,-2.76E-09,-0.599996997,4.60E-08,7.12E-08,-2.90E-06,0.076953738,0.22196078,4.439215596
6.464146803,7.45E-09,5.42E-07,-0.656582314,-8.15E-07,-1.37E-07,-0.799069295,0.09292691,0.236184869,4.723697382
5.000844734,0,0,-0.800539789,0,0,-0.500028803,0.104715222,0.246682346,4.933646919
7.410682237,-5.47E-07,8.88E-07,-0.6101937,-3.25E-07,-4.00E-07,-0.731023494,0.110714385,0.252024593,5.040491859
5.002173159,-3.09E-12,4.43E-12,-0.499548684,-3.71E-12,-2.21E-12,3.75E-07,0.116620649,0.257284113,5.14568227
5.002183794,2.69E-11,-8.24E-12,-0.499549,-9.44E-12,-8.04E-12,5.59E-07,0.116622394,0.257285667,5.145713348
4.999661448,0,0,-1.24E-06,0,0,-0.500054819,0.116640601,0.257301881,5.146037615
5.00218365,3.04E-11,-7.13E-12,-0.499549,-3.78E-12,-7.41E-12,5.58E-07,0.116657243,0.2573167,5.146334008
5.002183863,-3.44E-11,-1.88E-11,-0.499553,7.35E-12,6.02E-11,3.02E-07,0.116818581,0.257460372,5.149207434
7.80899466,6.80E-07,8.28E-07,-0.608065856,3.84E-08,-1.79E-07,0.799486513,0.117098474,0.257709616,5.154192321
5.516490595,-8.41E-08,-4.41E-07,-0.800165542,7.42E-08,4.66E-08,-0.699340908,0.121433279,0.261569754,5.231395088
2.999230142,-3.66E-08,-3.33E-11,-0.8500251,-8.41E-09,-2.95E-09,-0.849396985,0.124471496,0.264275283,5.285505655
5.000030905,-9.16E-08,-1.74E-07,-0.899870871,-8.97E-08,-2.50E-07,-4.60E-06,0.128148387,0.267549549,5.35099099
5.000085164,-2.21E-10,8.06E-10,-0.899959479,3.13E-10,-2.04E-09,-2.85E-06,0.128169182,0.267568067,5.351361348
5.000848224,0,0,0.800384171,0,0,-0.500051987,0.128309868,0.267693348,5.353866962
6.585688623,-1.03E-07,6.33E-07,-0.70962196,-4.80E-07,1.81E-07,-0.178523589,0.130408835,0.269562476,5.391249511
7.997161493,-5.60E-08,-3.76E-07,-0.603631991,1.32E-08,-2.25E-07,-0.752452418,0.132856035,0.271741704,5.434834081
2.997577274,0,0,-0.500075562,0,0,-0.8513091,0.136838194,0.275287812,5.505756231
2.99931515,0,0,-0.800672562,0,0,-0.800862595,0.149516459,0.28657779,5.731555807
4.000330275,0,0,-0.60141839,-0.60119096,0,0,0.149799707,0.286830022,5.736600447
6.118067112,5.88E-07,-6.69E-07,-0.800020656,-8.11E-08,6.74E-08,0.672689437,0.151341222,0.288202739,5.76405479
2.99768992,0,0,-2.24E-06,0,0,-0.851335107,0.154584548,0.291090917,5.821818343
4.671324842,-5.87E-07,1.23E-06,-0.497006151,5.60E-07,2.60E-07,0.799291168,0.157679038,0.293846557,5.876931131
7.747559523,8.80E-07,9.25E-08,-0.200283117,4.40E-07,1.55E-07,-0.77884797,0.166939439,0.302092932,6.041858637
2.9975684,0,0,0.500048646,0,0,-0.851327237,0.172723761,0.307243863,6.144877264
2.998370584,0,0,-1.86E-06,0,0,-0.800904512,0.178242669,0.312158444,6.243168875
3.154121529,-2.14E-08,1.22E-07,-0.79983509,2.54E-07,1.20E-07,0.776581052,0.179744526,0.313495846,6.26991691
6.589073809,1.14E-07,1.17E-07,-0.789279466,-1.95E-07,1.14E-07,0.067288608,0.182816427,0.316231369,6.324627389
15.03811344,0,0,0,0,0,0,0.18950447,0.322187063,6.443741264
3.635525038,0.050990062,0.141471388,-0.689418837,-0.47782017,0.164980905,0.545513505,0.190613392,0.323174557,6.463491136
2.999040118,0,0,0.825541672,0,0,-0.826073928,0.195467636,0.327497255,6.549945098
2.999813424,2.41E-06,5.24E-07,-0.699864416,1.07E-06,1.25E-06,-0.59971088,0.203298738,0.334470841,6.689416825
2.999918479,2.45E-06,2.98E-07,-0.699871915,1.25E-06,1.28E-06,-0.599724538,0.203343456,0.334510663,6.690213252
2.999883223,2.49E-06,2.22E-07,-0.699855592,1.26E-06,1.27E-06,-0.599718441,0.203346247,0.334513148,6.690262959
2.999927546,2.46E-06,2.67E-07,-0.699860592,1.24E-06,1.29E-06,-0.599726493,0.203346929,0.334513755,6.690275106
2.999908628,2.44E-06,3.00E-07,-0.699858448,1.23E-06,1.27E-06,-0.599714276,0.203362362,0.334527498,6.690549967
2.999871802,2.53E-06,3.40E-07,-0.699849598,1.25E-06,1.14E-06,-0.599711623,0.203374674,0.334538462,6.690769244
2.999964399,2.42E-06,3.20E-08,-0.699885187,1.37E-06,1.26E-06,-0.599721223,0.203379939,0.334543151,6.690863013
2.999083256,0,0,0.800466546,0,0,-0.800859255,0.206316359,0.337158029,6.743160578
2.994755589,-0.072587902,0.033153738,-0.763654704,-0.463419598,0.332783255,0.014079312,0.20766571,0.338359624,6.767192485
3.293107262,0.02913653,-0.004091068,-0.667961613,0.385857463,0.272211189,0.473286727,0.215418582,0.345263547,6.905270938
2.814756811,0.064888864,-0.015929335,-0.766643881,0.070269687,-0.340133796,-0.248902063,0.215992807,0.345774894,6.915497871
3.163614712,0.029961615,-0.01984819,-0.690434701,0.724799922,-0.299593991,0.152425207,0.216184239,0.345945363,6.91890727
7.999357309,4.00E-07,-2.42E-07,-0.737223079,2.46E-08,-2.80E-09,0.20744331,0.223894394,0.352811247,7.056224934
3.381192027,-0.257771557,-0.085941221,-0.684667774,0.352038665,-0.057595325,-0.269325944,0.22903944,0.357392904,7.147858072
2.999366817,0,0,-0.500036316,0,0,-0.650244232,0.230000271,0.358248522,7.164970447
2.412355295,0,0,-0.500108389,0,0,-0.851275067,0.23329821,0.361185333,7.223706657
2.454131994,-3.29E-07,6.47E-07,-0.799831582,-3.25E-07,8.52E-08,-0.733597821,0.235578721,0.363216125,7.2643225
3.417195049,0.060248582,0.305016138,-0.726659596,0.010988143,0.066430508,0.104139114,0.237222816,0.364680189,7.29360379
2.41375873,0,0,-0.80085978,0,0,-0.800881797,0.237459573,0.364891021,7.297820426
6.960560337,-0.14759066,0.07673807,-0.79179885,0,0,0,0.238753707,0.366043446,7.320868919
2.847096134,0.063658441,0.081569329,-0.791625545,-0.349000451,0.315981407,0.546885788,0.239369209,0.36659155,7.331830994
3.351334239,-0.267417426,-0.002312329,-0.670650801,-0.281039965,0.056248285,-0.565324953,0.239407539,0.366625683,7.332513651
2.99919948,-6.75E-08,-6.66E-08,-0.73139418,-4.08E-08,2.16E-08,0.849530972,0.239693884,0.366880672,7.337613448
2.999080293,2.64E-08,9.31E-08,-0.731289774,7.94E-09,-2.79E-08,0.849542067,0.239777056,0.366954737,7.339094739
2.999530748,0,0,-2.44E-06,0,0,-0.666941471,0.240088136,0.367231753,7.344635066
3.998644703,-4.16E-07,2.24E-07,-0.400044698,9.30E-08,-2.39E-07,-0.79930416,0.240886757,0.367942924,7.358858485
3.999930154,7.56E-09,-4.11E-08,-0.400030002,-3.28E-08,-2.21E-08,-0.499986123,0.247208762,0.373572662,7.471453233
2.999628675,0,0,-0.60142437,0,0,-0.60107259,0.24942455,0.375545818,7.510916361
2.999724597,-7.23E-08,-1.93E-08,-0.600035049,-4.57E-08,1.81E-08,-0.599833697,0.249532269,0.375641742,7.512834834
2.999858965,-1.94E-07,-6.68E-08,-0.599952482,-4.46E-08,-1.29E-07,-0.599915399,0.249547359,0.375655179,7.513103586
3.000099664,-7.12E-08,-7.30E-08,-0.599968944,8.89E-09,-2.52E-08,-0.399980474,0.25659543,0.381931478,7.638629551
2.999994096,6.15E-08,1.40E-08,-0.599958959,7.88E-09,2.19E-08,-0.400035501,0.256612305,0.381946505,7.638930094
3.999903747,-1.99E-07,4.19E-07,-0.400157997,-8.14E-08,1.02E-07,1.11E-05,0.257873986,0.38307003,7.661400601
4.000336183,0.30071139,0,-0.52084101,-0.60119341,0,0,0.257989612,0.383172995,7.663459897
2.412285413,0,0,-1.18E-06,0,0,-0.851287755,0.258618122,0.383732682,7.674653644
3.43561438,-0.047482667,-0.114542643,-0.536098748,0.128989648,-0.394115265,-0.007689202,0.258793158,0.383888552,7.677771031
3.998549418,-0.008424707,0.013228583,-0.399743306,0.170619582,0.780363416,0.032621936,0.259071637,0.384136537,7.682730735
3.999304231,-0.009792565,-0.013587814,-0.39973773,-0.746730817,-0.283793538,0.033929491,0.259721311,0.384715071,7.694301412
3.999615096,0.0120489,0.012340798,-0.399681058,0.780013133,0.17317126,0.033133446,0.259856746,0.384835675,7.696713506
4.999700323,0,0,-0.50008114,0,0,-0.250018077,0.260380621,0.385302185,7.706043706
9.999824343,-6.45E-08,-1.32E-07,3.66E-06,5.04E-09,8.84E-08,5.78E-08,0.260519679,0.385426016,7.708520326
9.999941403,7.23E-09,4.82E-10,8.74E-07,-4.81E-11,-4.42E-11,7.84E-07,0.260611814,0.385508062,7.710161248
9.996347594,0,0,0,0,0,0,0.26076566,0.385645062,7.712901241
9.989508602,-2.56E-08,2.74E-08,1.28E-05,-6.21E-08,-1.17E-07,-1.43E-05,0.260847098,0.385717582,7.71435165
2.631195329,-5.39E-07,2.15E-07,-0.79991671,-1.37E-07,1.25E-07,0.510738937,0.261978703,0.386725275,7.734505506
